Accession	IFN_Virus.Control_ZscRatio	IFN_Virus.Control_qvalue	IFN_Virus.Control_statVariant
Q5T3J3	-3.074247609	0.00101009	VARIANT
Q9P0M6	-2.484504046	2.25613e-05	VARIANT
P33240	-1.960287547	0.007412876	VARIANT
Q01831	-2.471398634	0.009967758	VARIANT
A0A2R8Y855	-1.986498372	0.004681067	VARIANT
Q8IWZ8	-3.297039621	0.002149147	VARIANT
Q8NCN2	-3.637780346	0.000522853	VARIANT
P06702	-4.66000252	0.000432916	VARIANT
P31260	-3.375672096	0.004259556	VARIANT
Q9BX59	-4.057153546	0.00273263	VARIANT
I3L3Y9	-5.171113607	2.32213e-08	VARIANT
Q9NRR5	-2.340344509	0.00776927	VARIANT
Q15388	2.705239301	0.000710355	VARIANT
O76062	-3.729518233	0.002266082	VARIANT
Q9HB07	-2.117552497	0.000930244	VARIANT
Q14331	-4.71242417	1.74661e-07	VARIANT
J3KQN4	4.933159425	6.83368e-08	VARIANT
Q8NBL1	3.832304775	0.0001549	VARIANT
Q99735	-2.746612296	5.25678e-06	VARIANT
P27540	-4.86968912	5.47556e-05	VARIANT
Q7Z5G4	3.373615338	0.002347802	VARIANT
Q6RW13	3.229455801	0.002310156	VARIANT
Q96EX1	3.70125065	0.007219012	VARIANT
K7EL40	3.059085438	0.006671916	VARIANT
C9J8E1	4.762789062	0.007058496	VARIANT
