"alias","name","Organism Taxon Id","represents","selected","shared name","type"
"SIR2L3","SIRT3","9606","ncbigene:23410","false","SIRT3","protein"
"SIR2L6","SIRT6","9606","ncbigene:51548","false","SIRT6","protein"
,"SATB1","9606","ncbigene:6304","false","SATB1","protein"
"macroH2A2","H2AFY2","9606","ncbigene:55506","false","H2AFY2","protein"
"KAT3B|RSTS2|p300","EP300","9606","ncbigene:2033","false","EP300","protein"
"H2B/c|H2BFC|dJ97D16.4","HIST1H2BL","9606","ncbigene:8340","false","HIST1H2BL","protein"
"H2B/e|H2BFE|dJ160A22.3","HIST1H2BM","9606","ncbigene:8342","false","HIST1H2BM","protein"
"H2B/d|H2BFD","HIST1H2BN","9606","ncbigene:8341","false","HIST1H2BN","protein"
"H4/l|H4FL","HIST1H4G","9606","ncbigene:8369","false","HIST1H4G","protein"
"H2AA|H2AFR|bA317E16.2","HIST1H2AA","9606","ncbigene:221613","false","HIST1H2AA","protein"
"H2A/S|H2AFALii|H2AH|dJ86C11.1","HIST1H2AH","9606","ncbigene:85235","false","HIST1H2AH","protein"
"H2BFU|STBP|TSH2B|TSH2B.1|bA317E16.3","HIST1H2BA","9606","ncbigene:255626","false","HIST1H2BA","protein"
"H2B/j|H2BFJ","HIST1H2BH","9606","ncbigene:8345","false","HIST1H2BH","protein"
"H2A/l|H2AFL|dJ221C16.4","HIST1H2AC","9606","ncbigene:8334","false","HIST1H2AC","protein"
"H2AB","HIST2H2AB","9606","ncbigene:317772","false","HIST2H2AB","protein"
,"HIST3H2A","9606","ncbigene:92815","false","HIST3H2A","protein"
"H2A.Z-2|H2AV","H2AFV","9606","ncbigene:94239","false","H2AFV","protein"
"GL105|H2B|H2B.1|H2BFQ|H2BGL105|H2BQ","HIST2H2BE","9606","ncbigene:8349","false","HIST2H2BE","protein"
"H2A|H2A-GL101|H2A/q|H2AFQ","HIST2H2AC","9606","ncbigene:8338","false","HIST2H2AC","protein"
"H3.4|H3/g|H3FT|H3t","HIST3H3","9606","ncbigene:8290","false","HIST3H3","protein"
"H2B.1B|H2B/b|H2BFB|HIRIP2|dJ221C16.6","HIST1H2BD","9606","ncbigene:3017","false","HIST1H2BD","protein"
"H2B.1|H2B/f|H2BFF","HIST1H2BB","9606","ncbigene:3018","false","HIST1H2BB","protein"
"H2B.2|H2B/n|H2BFN|dJ193B12.2","HIST1H2BO","9606","ncbigene:8348","false","HIST1H2BO","protein"
"H2A.3|H2A/g|H2AFG","HIST1H2AD","9606","ncbigene:3013","false","HIST1H2AD","protein"
"H2A.Z-1|H2A.z|H2A/z|H2AZ","H2AFZ","9606","ncbigene:3015","false","H2AFZ","protein"
"H2B/r|H2BFR|H2BJ","HIST1H2BJ","9606","ncbigene:8970","false","HIST1H2BJ","protein"
"H2A.y|H2A/y|H2AF12M|H2AFJ|MACROH2A1.1|mH2A1|macroH2A1.2","H2AFY","9606","ncbigene:9555","false","H2AFY","protein"
"H2B/S|H2BFAiii|H2BFT|H2BK","HIST1H2BK","9606","ncbigene:85236","false","HIST1H2BK","protein"
